X;Y;refX;refY;path;refPath;deltaX;deltaY;deltaX%;deltaY%
666;194;648;179;0;0;18;15;2;2
643;178;648;179;28;0;5;1;0;0
643;178;648;179;28;0;5;1;0;0
643;178;648;179;28;0;5;1;0;0
643;178;648;179;28;0;5;1;0;0
643;178;645;175;28;5;2;3;0;0
643;178;645;175;28;5;2;3;0;0
643;178;645;175;28;5;2;3;0;0
643;178;645;175;28;5;2;3;0;0
643;178;645;175;28;5;2;3;0;0
643;178;645;175;28;5;2;3;0;0
643;178;645;175;28;5;2;3;0;0
643;178;645;175;28;5;2;3;0;0
657;184;645;175;43;5;12;9;1;1
657;184;645;175;43;5;12;9;1;1
647;173;640;175;58;10;7;2;0;0
647;173;640;175;58;10;7;2;0;0
647;173;640;175;58;10;7;2;0;0
647;173;640;175;58;10;7;2;0;0
647;173;640;175;58;10;7;2;0;0
647;173;640;175;58;10;7;2;0;0
647;173;640;175;58;10;7;2;0;0
647;173;640;175;58;10;7;2;0;0
647;173;640;175;58;10;7;2;0;0
647;173;640;175;58;10;7;2;0;0
647;173;640;175;58;10;7;2;0;0
647;173;640;175;58;10;7;2;0;0
647;173;640;175;58;10;7;2;0;0
647;173;640;175;58;10;7;2;0;0
647;173;640;175;58;10;7;2;0;0
647;173;640;175;58;10;7;2;0;0
647;173;640;175;58;10;7;2;0;0
647;173;640;175;58;10;7;2;0;0
647;173;640;175;58;10;7;2;0;0
647;173;640;175;58;10;7;2;0;0
647;173;640;175;58;10;7;2;0;0
647;173;640;175;58;10;7;2;0;0
647;173;640;175;58;10;7;2;0;0
647;173;640;175;58;10;7;2;0;0
647;173;640;175;58;10;7;2;0;0
647;173;640;175;58;10;7;2;0;0
647;173;640;175;58;10;7;2;0;0
647;173;640;175;58;10;7;2;0;0
647;173;640;175;58;10;7;2;0;0
647;173;640;175;58;10;7;2;0;0
647;173;640;182;58;17;7;9;0;1
647;173;640;182;58;17;7;9;0;1
654;190;640;182;76;17;14;8;1;1
639;178;640;182;95;17;1;4;0;0
639;178;640;182;95;17;1;4;0;0
639;178;640;185;95;20;1;7;0;1
639;178;640;185;95;20;1;7;0;1
639;178;640;185;95;20;1;7;0;1
639;178;640;185;95;20;1;7;0;1
639;178;640;185;95;20;1;7;0;1
639;178;640;186;95;21;1;8;0;1
639;178;640;186;95;21;1;8;0;1
639;178;640;186;95;21;1;8;0;1
639;178;640;186;95;21;1;8;0;1
651;187;640;186;110;21;11;1;1;0
651;187;640;186;110;21;11;1;1;0
651;187;640;186;110;21;11;1;1;0
651;187;640;186;110;21;11;1;1;0
651;187;640;186;110;21;11;1;1;0
651;187;640;186;110;21;11;1;1;0
651;187;640;186;110;21;11;1;1;0
651;187;640;186;110;21;11;1;1;0
651;187;640;186;110;21;11;1;1;0
651;187;640;186;110;21;11;1;1;0
651;187;640;186;110;21;11;1;1;0
651;187;640;186;110;21;11;1;1;0
651;187;640;186;110;21;11;1;1;0
651;187;640;186;110;21;11;1;1;0
651;187;640;186;110;21;11;1;1;0
651;187;640;186;110;21;11;1;1;0
651;187;640;187;110;22;11;0;1;0
651;187;640;187;110;22;11;0;1;0
651;187;640;187;110;22;11;0;1;0
651;187;640;187;110;22;11;0;1;0
651;187;640;187;110;22;11;0;1;0
651;187;640;187;110;22;11;0;1;0
651;187;640;187;110;22;11;0;1;0
651;187;640;187;110;22;11;0;1;0
651;187;640;187;110;22;11;0;1;0
632;188;640;187;129;22;8;1;1;0
632;188;638;202;129;37;6;14;0;2
632;188;638;202;129;37;6;14;0;2
632;188;638;202;129;37;6;14;0;2
632;188;638;202;129;37;6;14;0;2
632;188;638;202;129;37;6;14;0;2
632;188;634;206;129;43;2;18;0;3
632;188;634;206;129;43;2;18;0;3
632;188;634;206;129;43;2;18;0;3
632;188;634;206;129;43;2;18;0;3
632;188;634;206;129;43;2;18;0;3
632;188;639;204;129;48;7;16;0;2
632;188;639;204;129;48;7;16;0;2
632;188;639;204;129;48;7;16;0;2
632;188;639;204;129;48;7;16;0;2
632;188;639;204;129;48;7;16;0;2
632;188;639;198;129;54;7;10;0;1
632;188;639;198;129;54;7;10;0;1
632;188;639;198;129;54;7;10;0;1
632;188;639;198;129;54;7;10;0;1
632;188;639;198;129;54;7;10;0;1
632;188;639;195;129;57;7;7;0;1
632;188;639;195;129;57;7;7;0;1
632;188;639;195;129;57;7;7;0;1
632;188;639;195;129;57;7;7;0;1
632;188;639;195;129;57;7;7;0;1
632;188;643;192;129;62;11;4;1;0
632;188;643;192;129;62;11;4;1;0
632;188;643;192;129;62;11;4;1;0
632;188;643;192;129;62;11;4;1;0
632;188;643;192;129;62;11;4;1;0
632;188;643;193;129;63;11;5;1;0
632;188;643;193;129;63;11;5;1;0
632;188;643;193;129;63;11;5;1;0
632;188;643;193;129;63;11;5;1;0
632;188;643;193;129;63;11;5;1;0
632;188;643;193;129;63;11;5;1;0
632;188;643;193;129;63;11;5;1;0
632;188;643;193;129;63;11;5;1;0
632;188;643;193;129;63;11;5;1;0
632;188;643;193;129;63;11;5;1;0
632;188;643;193;129;63;11;5;1;0
632;188;643;193;129;63;11;5;1;0
632;188;643;193;129;63;11;5;1;0
632;188;643;193;129;63;11;5;1;0
632;188;643;193;129;63;11;5;1;0
632;188;643;193;129;63;11;5;1;0
632;188;643;193;129;63;11;5;1;0
632;188;643;193;129;63;11;5;1;0
632;188;643;193;129;63;11;5;1;0
632;188;643;193;129;63;11;5;1;0
632;188;645;193;129;65;13;5;1;0
632;188;645;193;129;65;13;5;1;0
632;188;645;193;129;65;13;5;1;0
632;188;645;193;129;65;13;5;1;0
632;188;645;193;129;65;13;5;1;0
632;188;635;180;129;81;3;8;0;1
632;188;635;180;129;81;3;8;0;1
632;188;635;180;129;81;3;8;0;1
632;188;635;180;129;81;3;8;0;1
632;188;635;180;129;81;3;8;0;1
632;188;641;177;129;88;9;11;1;1
632;188;641;177;129;88;9;11;1;1
632;188;641;177;129;88;9;11;1;1
632;188;641;177;129;88;9;11;1;1
632;188;641;177;129;88;9;11;1;1
632;188;646;177;129;93;14;11;1;1
632;188;646;177;129;93;14;11;1;1
632;188;646;177;129;93;14;11;1;1
632;188;646;177;129;93;14;11;1;1
632;188;646;177;129;93;14;11;1;1
632;188;646;184;129;100;14;4;1;0
632;188;646;184;129;100;14;4;1;0
632;188;646;184;129;100;14;4;1;0
632;188;646;184;129;100;14;4;1;0
632;188;646;184;129;100;14;4;1;0
632;188;641;188;129;106;9;0;1;0
632;188;641;188;129;106;9;0;1;0
632;188;641;188;129;106;9;0;1;0
632;188;641;188;129;106;9;0;1;0
632;188;641;188;129;106;9;0;1;0
632;188;638;184;129;111;6;4;0;0
632;188;638;184;129;111;6;4;0;0
632;188;638;184;129;111;6;4;0;0
632;188;638;184;129;111;6;4;0;0
632;188;638;184;129;111;6;4;0;0
632;188;638;186;129;113;6;2;0;0
632;188;638;186;129;113;6;2;0;0
632;188;638;186;129;113;6;2;0;0
632;188;638;186;129;113;6;2;0;0
632;188;638;186;129;113;6;2;0;0
632;188;638;192;129;119;6;4;0;0
632;188;638;192;129;119;6;4;0;0
632;188;638;192;129;119;6;4;0;0
632;188;638;192;129;119;6;4;0;0
632;188;638;192;129;119;6;4;0;0
632;188;657;198;129;139;25;10;3;1
632;188;657;198;129;139;25;10;3;1
632;188;657;198;129;139;25;10;3;1
632;188;657;198;129;139;25;10;3;1
632;188;657;198;129;139;25;10;3;1
632;188;654;194;129;144;22;6;2;1
632;188;654;194;129;144;22;6;2;1
632;188;654;194;129;144;22;6;2;1
632;188;654;194;129;144;22;6;2;1
632;188;654;194;129;144;22;6;2;1
632;188;657;194;129;147;25;6;3;1
632;188;657;194;129;147;25;6;3;1
632;188;657;194;129;147;25;6;3;1
632;188;657;194;129;147;25;6;3;1
646;194;657;194;144;147;11;0;1;0
646;194;657;194;144;147;11;0;1;0
646;194;657;194;144;147;11;0;1;0
646;194;657;194;144;147;11;0;1;0
646;194;657;194;144;147;11;0;1;0
646;194;657;194;144;147;11;0;1;0
635;184;657;194;159;147;22;10;2;1
635;184;657;194;159;147;22;10;2;1
635;184;657;194;159;147;22;10;2;1
635;184;657;194;159;147;22;10;2;1
635;184;657;194;159;147;22;10;2;1
635;184;657;194;159;147;22;10;2;1
635;184;657;194;159;147;22;10;2;1
635;184;657;194;159;147;22;10;2;1
635;184;657;194;159;147;22;10;2;1
635;184;657;194;159;147;22;10;2;1
635;184;641;178;159;170;6;6;0;1
635;184;641;178;159;170;6;6;0;1
635;184;641;178;159;170;6;6;0;1
635;184;641;178;159;170;6;6;0;1
635;184;641;178;159;170;6;6;0;1
652;177;645;173;177;176;7;4;0;0
652;177;645;173;177;176;7;4;0;0
652;177;645;173;177;176;7;4;0;0
652;177;645;173;177;176;7;4;0;0
652;177;645;173;177;176;7;4;0;0
652;177;645;173;177;176;7;4;0;0
652;177;645;173;177;176;7;4;0;0
652;177;645;173;177;176;7;4;0;0
652;177;645;173;177;176;7;4;0;0
652;177;645;173;177;176;7;4;0;0
652;177;645;173;177;176;7;4;0;0
652;177;645;173;177;176;7;4;0;0
652;177;645;173;177;176;7;4;0;0
652;177;645;173;177;176;7;4;0;0
652;177;645;173;177;176;7;4;0;0
652;177;645;173;177;176;7;4;0;0
652;177;645;173;177;176;7;4;0;0
652;177;645;173;177;176;7;4;0;0
652;177;645;173;177;176;7;4;0;0
636;177;645;173;193;176;9;4;1;0
636;177;659;186;193;195;23;9;2;1
636;177;659;186;193;195;23;9;2;1
636;177;659;186;193;195;23;9;2;1
636;177;659;186;193;195;23;9;2;1
636;177;659;186;193;195;23;9;2;1
636;177;668;190;193;205;32;13;4;2
636;177;668;190;193;205;32;13;4;2
636;177;668;190;193;205;32;13;4;2
650;190;668;190;212;205;18;0;2;0
642;177;668;190;227;205;26;13;3;2
642;177;659;178;227;220;17;1;2;0
642;177;659;178;227;220;17;1;2;0
642;177;659;178;227;220;17;1;2;0
642;177;659;178;227;220;17;1;2;0
642;177;659;178;227;220;17;1;2;0
642;177;647;165;227;238;5;12;0;2
642;177;647;165;227;238;5;12;0;2
642;177;647;165;227;238;5;12;0;2
642;177;647;165;227;238;5;12;0;2
642;177;647;165;227;238;5;12;0;2
642;177;645;162;227;242;3;15;0;2
642;177;645;162;227;242;3;15;0;2
642;177;645;162;227;242;3;15;0;2
642;177;645;162;227;242;3;15;0;2
642;177;645;162;227;242;3;15;0;2
642;177;641;164;227;246;1;13;0;2
642;177;641;164;227;246;1;13;0;2
642;177;641;164;227;246;1;13;0;2
642;177;641;164;227;246;1;13;0;2
621;227;641;164;281;246;20;63;2;10
645;162;647;160;350;253;2;2;0;0
645;162;647;160;350;253;2;2;0;0
645;162;647;160;350;253;2;2;0;0
645;162;647;160;350;253;2;2;0;0
645;162;647;160;350;253;2;2;0;0
645;162;647;156;350;257;2;6;0;1
645;162;647;156;350;257;2;6;0;1
645;162;647;156;350;257;2;6;0;1
645;162;647;156;350;257;2;6;0;1
645;162;647;156;350;257;2;6;0;1
645;162;647;156;350;257;2;6;0;1
645;162;647;156;350;257;2;6;0;1
645;162;647;156;350;257;2;6;0;1
645;162;647;156;350;257;2;6;0;1
645;162;647;156;350;257;2;6;0;1
645;162;647;161;350;262;2;1;0;0
645;162;647;161;350;262;2;1;0;0
645;162;647;161;350;262;2;1;0;0
645;162;647;161;350;262;2;1;0;0
645;162;647;161;350;262;2;1;0;0
645;162;647;161;350;262;2;1;0;0
645;162;647;161;350;262;2;1;0;0
683;153;647;161;389;262;36;8;4;1
660;156;647;161;412;262;13;5;1;0
660;156;647;161;412;262;13;5;1;0
660;156;647;161;412;262;13;5;1;0
660;156;647;161;412;262;13;5;1;0
660;156;647;161;412;262;13;5;1;0
660;156;647;161;412;262;13;5;1;0
660;156;647;161;412;262;13;5;1;0
660;156;647;166;412;267;13;10;1;1
660;156;647;166;412;267;13;10;1;1
660;156;647;166;412;267;13;10;1;1
660;156;647;166;412;267;13;10;1;1
687;153;647;166;439;267;40;13;5;2
687;153;647;166;439;267;40;13;5;2
687;153;647;166;439;267;40;13;5;2
687;153;647;166;439;267;40;13;5;2
687;153;647;166;439;267;40;13;5;2
687;153;647;166;439;267;40;13;5;2
687;153;647;166;439;267;40;13;5;2
687;153;647;166;439;267;40;13;5;2
687;153;647;166;439;267;40;13;5;2
687;153;647;166;439;267;40;13;5;2
687;153;647;166;439;267;40;13;5;2
687;153;659;155;439;283;28;2;3;0
687;153;659;155;439;283;28;2;3;0
687;153;659;155;439;283;28;2;3;0
687;153;659;155;439;283;28;2;3;0
687;153;659;155;439;283;28;2;3;0
687;153;659;155;439;283;28;2;3;0
687;153;659;155;439;283;28;2;3;0
687;153;659;155;439;283;28;2;3;0
687;153;659;155;439;283;28;2;3;0
687;153;659;155;439;283;28;2;3;0
687;153;659;155;439;283;28;2;3;0
687;153;659;155;439;283;28;2;3;0
692;139;659;155;454;283;33;16;4;2
692;139;659;155;454;283;33;16;4;2
692;139;659;155;454;283;33;16;4;2
692;139;659;153;454;285;33;14;4;2
692;139;659;153;454;285;33;14;4;2
692;139;659;153;454;285;33;14;4;2
692;139;659;153;454;285;33;14;4;2
692;139;659;153;454;285;33;14;4;2
692;139;659;149;454;289;33;10;4;1
692;139;659;149;454;289;33;10;4;1
692;139;659;149;454;289;33;10;4;1
692;139;659;149;454;289;33;10;4;1
692;139;659;149;454;289;33;10;4;1
692;139;659;146;454;292;33;7;4;1
692;139;659;146;454;292;33;7;4;1
692;139;659;146;454;292;33;7;4;1
