X;Y;refX;refY;path;refPath;deltaX;deltaY;deltaX%;deltaY%
129;370;119;381;0;0;10;11;1;1
129;370;119;381;0;0;10;11;1;1
129;370;119;381;0;0;10;11;1;1
129;370;119;381;0;0;10;11;1;1
114;368;119;381;15;0;5;13;0;2
114;368;106;381;15;13;8;13;1;2
114;368;106;381;15;13;8;13;1;2
114;368;106;381;15;13;8;13;1;2
114;368;106;381;15;13;8;13;1;2
114;368;106;381;15;13;8;13;1;2
114;368;106;381;15;13;8;13;1;2
114;368;106;381;15;13;8;13;1;2
114;368;106;381;15;13;8;13;1;2
114;368;106;381;15;13;8;13;1;2
114;368;106;381;15;13;8;13;1;2
114;368;106;381;15;13;8;13;1;2
114;368;106;381;15;13;8;13;1;2
114;368;106;381;15;13;8;13;1;2
114;368;106;381;15;13;8;13;1;2
114;368;106;381;15;13;8;13;1;2
114;368;106;380;15;14;8;12;1;2
114;368;106;380;15;14;8;12;1;2
114;368;106;380;15;14;8;12;1;2
114;368;106;380;15;14;8;12;1;2
114;368;106;380;15;14;8;12;1;2
114;368;111;380;15;19;3;12;0;2
114;368;111;380;15;19;3;12;0;2
114;368;111;380;15;19;3;12;0;2
114;368;111;380;15;19;3;12;0;2
114;368;111;380;15;19;3;12;0;2
114;368;111;380;15;19;3;12;0;2
114;368;111;380;15;19;3;12;0;2
114;368;111;380;15;19;3;12;0;2
114;368;111;380;15;19;3;12;0;2
114;368;111;380;15;19;3;12;0;2
114;368;111;380;15;19;3;12;0;2
114;368;111;380;15;19;3;12;0;2
114;368;111;380;15;19;3;12;0;2
114;368;111;380;15;19;3;12;0;2
114;368;111;380;15;19;3;12;0;2
114;368;111;380;15;19;3;12;0;2
114;368;111;380;15;19;3;12;0;2
114;368;111;380;15;19;3;12;0;2
114;368;111;380;15;19;3;12;0;2
151;357;111;380;54;19;40;23;5;3
151;357;167;381;54;75;16;24;2;4
151;357;167;381;54;75;16;24;2;4
151;357;167;381;54;75;16;24;2;4
151;357;167;381;54;75;16;24;2;4
151;357;167;381;54;75;16;24;2;4
151;357;289;289;54;228;138;68;17;11
151;357;289;289;54;228;138;68;17;11
151;357;289;289;54;228;138;68;17;11
151;357;289;289;54;228;138;68;17;11
365;231;289;289;302;228;76;58;9;10
365;231;372;259;302;316;7;28;0;4
365;231;372;259;302;316;7;28;0;4
365;231;372;259;302;316;7;28;0;4
365;231;372;259;302;316;7;28;0;4
440;198;372;259;384;316;68;61;8;10
440;198;377;257;384;321;63;59;8;10
440;198;377;257;384;321;63;59;8;10
440;198;377;257;384;321;63;59;8;10
440;198;377;257;384;321;63;59;8;10
440;198;377;257;384;321;63;59;8;10
