X;Y;refX;refY;path;refPath;deltaX;deltaY;deltaX%;deltaY%
555;188;563;165;0;0;8;23;1;3
555;188;563;165;0;0;8;23;1;3
555;188;563;165;0;0;8;23;1;3
555;188;563;165;0;0;8;23;1;3
555;188;563;165;0;0;8;23;1;3
555;188;563;164;0;1;8;24;1;4
555;188;563;164;0;1;8;24;1;4
555;188;563;164;0;1;8;24;1;4
555;188;563;164;0;1;8;24;1;4
555;188;563;164;0;1;8;24;1;4
555;188;563;164;0;1;8;24;1;4
555;188;563;164;0;1;8;24;1;4
555;188;563;164;0;1;8;24;1;4
555;188;563;164;0;1;8;24;1;4
555;188;563;164;0;1;8;24;1;4
555;188;563;164;0;1;8;24;1;4
555;188;563;164;0;1;8;24;1;4
555;188;563;164;0;1;8;24;1;4
555;188;563;164;0;1;8;24;1;4
555;188;563;164;0;1;8;24;1;4
555;188;549;157;0;17;6;31;0;5
555;188;549;157;0;17;6;31;0;5
555;188;549;157;0;17;6;31;0;5
555;188;549;157;0;17;6;31;0;5
555;188;549;157;0;17;6;31;0;5
555;188;532;156;0;34;23;32;2;5
555;188;532;156;0;34;23;32;2;5
555;188;532;156;0;34;23;32;2;5
555;188;532;156;0;34;23;32;2;5
555;188;532;156;0;34;23;32;2;5
555;188;543;172;0;53;12;16;1;2
555;188;543;172;0;53;12;16;1;2
555;188;543;172;0;53;12;16;1;2
532;184;543;172;23;53;11;12;1;2
532;184;543;172;23;53;11;12;1;2
512;163;543;172;52;53;31;9;4;1
512;163;543;172;52;53;31;9;4;1
512;163;543;172;52;53;31;9;4;1
512;163;543;172;52;53;31;9;4;1
441;242;543;172;158;53;102;70;13;12
441;242;405;248;158;211;36;6;4;1
441;242;405;248;158;211;36;6;4;1
441;242;405;248;158;211;36;6;4;1
441;242;405;248;158;211;36;6;4;1
441;242;405;248;158;211;36;6;4;1
441;242;405;248;158;211;36;6;4;1
441;242;405;248;158;211;36;6;4;1
441;242;405;248;158;211;36;6;4;1
441;242;405;248;158;211;36;6;4;1
441;242;405;248;158;211;36;6;4;1
441;242;406;247;158;212;35;5;4;0
441;242;406;247;158;212;35;5;4;0
441;242;406;247;158;212;35;5;4;0
441;242;406;247;158;212;35;5;4;0
422;242;406;247;177;212;16;5;2;0
422;242;397;260;177;228;25;18;3;3
422;242;397;260;177;228;25;18;3;3
422;242;397;260;177;228;25;18;3;3
422;242;397;260;177;228;25;18;3;3
422;242;397;260;177;228;25;18;3;3
422;242;397;260;177;228;25;18;3;3
422;242;397;260;177;228;25;18;3;3
422;242;397;260;177;228;25;18;3;3
422;242;397;260;177;228;25;18;3;3
422;242;397;260;177;228;25;18;3;3
422;242;397;260;177;228;25;18;3;3
422;242;397;260;177;228;25;18;3;3
422;242;397;260;177;228;25;18;3;3
422;242;397;260;177;228;25;18;3;3
452;225;397;260;211;228;55;35;7;6
452;225;443;224;211;286;9;1;1;0
452;225;443;224;211;286;9;1;1;0
452;225;443;224;211;286;9;1;1;0
452;225;443;224;211;286;9;1;1;0
474;223;443;224;233;286;31;1;4;0
474;223;487;225;233;330;13;2;1;0
474;223;487;225;233;330;13;2;1;0
474;223;487;225;233;330;13;2;1;0
474;223;487;225;233;330;13;2;1;0
638;280;487;225;407;330;151;55;19;9
638;280;650;303;407;511;12;23;1;3
638;280;650;303;407;511;12;23;1;3
638;280;650;303;407;511;12;23;1;3
638;280;650;303;407;511;12;23;1;3
676;309;650;303;455;511;26;6;3;1
676;309;688;318;455;552;12;9;1;1
676;309;688;318;455;552;12;9;1;1
676;309;688;318;455;552;12;9;1;1
676;309;688;318;455;552;12;9;1;1
663;340;688;318;489;552;25;22;3;3
663;340;680;358;489;593;17;18;2;3
663;340;680;358;489;593;17;18;2;3
663;340;680;358;489;593;17;18;2;3
663;340;680;358;489;593;17;18;2;3
251;364;680;358;902;593;429;6;55;1
251;364;259;376;902;1014;8;12;1;2
251;364;259;376;902;1014;8;12;1;2
251;364;259;376;902;1014;8;12;1;2
251;364;259;376;902;1014;8;12;1;2
251;364;259;376;902;1014;8;12;1;2
251;364;259;376;902;1014;8;12;1;2
251;364;259;376;902;1014;8;12;1;2
251;364;259;376;902;1014;8;12;1;2
251;364;259;376;902;1014;8;12;1;2
251;364;259;376;902;1014;8;12;1;2
251;364;259;376;902;1014;8;12;1;2
251;364;259;376;902;1014;8;12;1;2
251;364;259;376;902;1014;8;12;1;2
251;364;259;376;902;1014;8;12;1;2
251;364;259;376;902;1014;8;12;1;2
251;364;259;376;902;1014;8;12;1;2
251;364;259;376;902;1014;8;12;1;2
251;364;259;376;902;1014;8;12;1;2
251;364;259;376;902;1014;8;12;1;2
251;364;259;376;902;1014;8;12;1;2
251;364;259;376;902;1014;8;12;1;2
251;364;259;376;902;1014;8;12;1;2
251;364;259;376;902;1014;8;12;1;2
251;364;259;376;902;1014;8;12;1;2
251;364;259;376;902;1014;8;12;1;2
251;364;259;376;902;1014;8;12;1;2
251;364;259;376;902;1014;8;12;1;2
251;364;259;376;902;1014;8;12;1;2
251;364;259;376;902;1014;8;12;1;2
251;364;259;376;902;1014;8;12;1;2
251;364;259;376;902;1014;8;12;1;2
251;364;259;376;902;1014;8;12;1;2
251;364;259;376;902;1014;8;12;1;2
251;364;259;376;902;1014;8;12;1;2
254;347;259;376;919;1014;5;29;0;5
254;347;259;355;919;1035;5;8;0;1
254;347;259;355;919;1035;5;8;0;1
254;347;259;355;919;1035;5;8;0;1
254;347;259;355;919;1035;5;8;0;1
254;347;259;355;919;1035;5;8;0;1
254;347;231;360;919;1063;23;13;2;2
254;347;231;360;919;1063;23;13;2;2
254;347;231;360;919;1063;23;13;2;2
254;347;231;360;919;1063;23;13;2;2
254;347;231;360;919;1063;23;13;2;2
254;347;223;355;919;1072;31;8;4;1
254;347;223;355;919;1072;31;8;4;1
254;347;223;355;919;1072;31;8;4;1
254;347;223;355;919;1072;31;8;4;1
215;337;223;355;959;1072;8;18;1;3
215;337;192;344;959;1105;23;7;2;1
215;337;192;344;959;1105;23;7;2;1
215;337;192;344;959;1105;23;7;2;1
215;337;192;344;959;1105;23;7;2;1
186;330;192;344;989;1105;6;14;0;2
186;330;165;340;989;1132;21;10;2;1
186;330;165;340;989;1132;21;10;2;1
186;330;165;340;989;1132;21;10;2;1
186;330;165;340;989;1132;21;10;2;1
186;330;165;340;989;1132;21;10;2;1
186;330;163;315;989;1157;23;15;2;2
186;330;163;315;989;1157;23;15;2;2
171;329;163;315;1004;1157;8;14;1;2
171;329;163;315;1004;1157;8;14;1;2
171;329;163;315;1004;1157;8;14;1;2
171;329;154;298;1004;1176;17;31;2;5
171;329;154;298;1004;1176;17;31;2;5
171;329;154;298;1004;1176;17;31;2;5
171;329;154;298;1004;1176;17;31;2;5
143;310;154;298;1038;1176;11;12;1;2
143;310;145;276;1038;1200;2;34;0;5
143;310;145;276;1038;1200;2;34;0;5
143;310;145;276;1038;1200;2;34;0;5
143;310;145;276;1038;1200;2;34;0;5
115;302;145;276;1067;1200;30;26;3;4
115;302;130;276;1067;1215;15;26;1;4
115;302;130;276;1067;1215;15;26;1;4
115;302;130;276;1067;1215;15;26;1;4
115;302;130;276;1067;1215;15;26;1;4
115;302;130;276;1067;1215;15;26;1;4
115;302;130;273;1067;1218;15;29;1;5
115;302;130;273;1067;1218;15;29;1;5
115;302;130;273;1067;1218;15;29;1;5
115;302;130;273;1067;1218;15;29;1;5
92;298;130;273;1090;1218;38;25;4;4
92;298;94;273;1090;1254;2;25;0;4
92;298;94;273;1090;1254;2;25;0;4
92;298;94;273;1090;1254;2;25;0;4
92;298;94;273;1090;1254;2;25;0;4
92;298;94;273;1090;1254;2;25;0;4
92;298;94;273;1090;1254;2;25;0;4
92;298;94;273;1090;1254;2;25;0;4
92;298;94;273;1090;1254;2;25;0;4
92;298;94;273;1090;1254;2;25;0;4
92;298;94;273;1090;1254;2;25;0;4
92;298;94;273;1090;1254;2;25;0;4
92;298;94;273;1090;1254;2;25;0;4
92;298;94;273;1090;1254;2;25;0;4
92;298;94;273;1090;1254;2;25;0;4
92;298;94;273;1090;1254;2;25;0;4
92;298;94;273;1090;1254;2;25;0;4
92;298;94;273;1090;1254;2;25;0;4
92;298;94;273;1090;1254;2;25;0;4
92;298;94;273;1090;1254;2;25;0;4
92;298;94;273;1090;1254;2;25;0;4
92;298;94;273;1090;1254;2;25;0;4
92;298;94;273;1090;1254;2;25;0;4
92;298;94;273;1090;1254;2;25;0;4
92;298;94;273;1090;1254;2;25;0;4
79;285;94;273;1108;1254;15;12;1;2
79;285;82;269;1108;1267;3;16;0;2
79;285;82;269;1108;1267;3;16;0;2
79;285;82;269;1108;1267;3;16;0;2
79;285;82;269;1108;1267;3;16;0;2
79;285;82;269;1108;1267;3;16;0;2
79;285;82;269;1108;1267;3;16;0;2
79;285;82;269;1108;1267;3;16;0;2
79;285;82;269;1108;1267;3;16;0;2
79;285;82;269;1108;1267;3;16;0;2
79;285;82;269;1108;1267;3;16;0;2
79;285;82;269;1108;1267;3;16;0;2
79;285;82;269;1108;1267;3;16;0;2
79;285;82;269;1108;1267;3;16;0;2
79;285;82;269;1108;1267;3;16;0;2
79;285;82;269;1108;1267;3;16;0;2
79;285;82;269;1108;1267;3;16;0;2
79;285;82;269;1108;1267;3;16;0;2
79;285;82;269;1108;1267;3;16;0;2
