X;Y;refX;refY;path;refPath;deltaX;deltaY;deltaX%;deltaY%
497;215;459;229;0;0;38;14;4;2
519;222;459;229;23;0;60;7;7;1
519;222;459;229;23;0;60;7;7;1
519;222;459;229;23;0;60;7;7;1
499;220;459;229;43;0;40;9;5;1
513;216;459;229;58;0;54;13;7;2
513;216;459;229;58;0;54;13;7;2
513;216;459;229;58;0;54;13;7;2
513;216;459;229;58;0;54;13;7;2
496;221;459;229;76;0;37;8;4;1
496;221;459;225;76;4;37;4;4;0
496;221;459;225;76;4;37;4;4;0
496;221;459;225;76;4;37;4;4;0
511;218;459;225;91;4;52;7;6;1
487;211;459;225;116;4;28;14;3;2
487;211;459;225;116;4;28;14;3;2
487;211;459;225;116;4;28;14;3;2
487;211;459;225;116;4;28;14;3;2
487;211;459;225;116;4;28;14;3;2
501;220;459;225;133;4;42;5;5;0
501;220;452;225;133;11;49;5;6;0
501;220;452;225;133;11;49;5;6;0
501;220;452;225;133;11;49;5;6;0
490;209;452;225;149;11;38;16;4;2
490;209;452;225;149;11;38;16;4;2
505;212;452;225;164;11;53;13;6;2
505;212;452;225;164;11;53;13;6;2
505;212;452;225;164;11;53;13;6;2
505;212;452;225;164;11;53;13;6;2
505;212;452;225;164;11;53;13;6;2
521;226;450;225;185;13;71;1;9;0
521;226;450;225;185;13;71;1;9;0
521;226;450;225;185;13;71;1;9;0
521;226;450;225;185;13;71;1;9;0
503;223;450;225;203;13;53;2;6;0
503;223;454;225;203;17;49;2;6;0
503;223;454;225;203;17;49;2;6;0
503;223;454;225;203;17;49;2;6;0
503;223;454;225;203;17;49;2;6;0
503;223;454;225;203;17;49;2;6;0
503;223;454;225;203;17;49;2;6;0
503;223;454;225;203;17;49;2;6;0
503;223;454;225;203;17;49;2;6;0
503;223;454;225;203;17;49;2;6;0
503;223;454;225;203;17;49;2;6;0
503;223;454;225;203;17;49;2;6;0
503;223;454;225;203;17;49;2;6;0
503;223;454;225;203;17;49;2;6;0
503;223;454;225;203;17;49;2;6;0
503;223;454;225;203;17;49;2;6;0
503;223;447;225;203;24;56;2;7;0
503;223;447;225;203;24;56;2;7;0
503;223;447;225;203;24;56;2;7;0
503;223;447;225;203;24;56;2;7;0
503;223;447;225;203;24;56;2;7;0
503;223;444;225;203;27;59;2;7;0
503;223;444;225;203;27;59;2;7;0
503;223;444;225;203;27;59;2;7;0
503;223;444;225;203;27;59;2;7;0
430;226;444;225;276;27;14;1;1;0
430;226;384;243;276;90;46;17;5;2
430;226;384;243;276;90;46;17;5;2
430;226;384;243;276;90;46;17;5;2
430;226;384;243;276;90;46;17;5;2
430;226;384;243;276;90;46;17;5;2
430;226;372;250;276;104;58;24;7;4
418;235;372;250;291;104;46;15;5;2
418;235;372;250;291;104;46;15;5;2
418;235;372;250;291;104;46;15;5;2
398;232;372;250;311;104;26;18;3;3
398;232;363;238;311;119;35;6;4;1
398;232;363;238;311;119;35;6;4;1
398;232;363;238;311;119;35;6;4;1
398;232;363;238;311;119;35;6;4;1
398;232;363;238;311;119;35;6;4;1
398;232;363;238;311;119;35;6;4;1
398;232;363;238;311;119;35;6;4;1
398;232;363;238;311;119;35;6;4;1
398;232;363;238;311;119;35;6;4;1
398;232;363;238;311;119;35;6;4;1
398;232;363;238;311;119;35;6;4;1
398;232;363;238;311;119;35;6;4;1
398;232;363;238;311;119;35;6;4;1
398;232;363;238;311;119;35;6;4;1
398;232;363;238;311;119;35;6;4;1
398;232;357;241;311;126;41;9;5;1
398;232;357;241;311;126;41;9;5;1
398;232;357;241;311;126;41;9;5;1
398;232;357;241;311;126;41;9;5;1
410;207;357;241;339;126;53;34;6;5
410;207;373;222;339;151;37;15;4;2
410;207;373;222;339;151;37;15;4;2
410;207;373;222;339;151;37;15;4;2
410;207;373;222;339;151;37;15;4;2
410;207;373;222;339;151;37;15;4;2
410;207;373;221;339;152;37;14;4;2
410;207;373;221;339;152;37;14;4;2
410;207;373;221;339;152;37;14;4;2
410;207;373;221;339;152;37;14;4;2
412;192;373;221;354;152;39;29;5;5
412;192;373;207;354;166;39;15;5;2
412;192;373;207;354;166;39;15;5;2
412;192;373;207;354;166;39;15;5;2
412;192;373;207;354;166;39;15;5;2
412;192;373;207;354;166;39;15;5;2
412;192;373;203;354;170;39;11;5;1
412;192;373;203;354;170;39;11;5;1
412;192;373;203;354;170;39;11;5;1
412;192;373;203;354;170;39;11;5;1
412;192;373;203;354;170;39;11;5;1
412;192;373;202;354;171;39;10;5;1
412;192;373;202;354;171;39;10;5;1
412;192;373;202;354;171;39;10;5;1
412;192;373;202;354;171;39;10;5;1
412;192;373;202;354;171;39;10;5;1
412;192;373;200;354;173;39;8;5;1
