Delta X	Delta X%	Delta Y	Delta Y%	sum X	sum Y	sum X/N	sum Y/N	Percento X	Percento Y	Draha etalon	Draha entropy	Rozdiel drah	Rozdiel drah %
61,00	10,59	185,00	24,09	92843,00	135414,00	61,90	90,28	10,75	11,75	2147,94	12380,66	10232,72	476,40
61,00	10,59	185,00	24,09	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
61,00	10,59	185,00	24,09	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
61,00	10,59	185,00	24,09	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
61,00	10,59	185,00	24,09	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
61,00	10,59	185,00	24,09	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
61,00	10,59	185,00	24,09	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
61,00	10,59	185,00	24,09	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
61,00	10,59	185,00	24,09	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
61,00	10,59	185,00	24,09	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
61,00	10,59	189,00	24,61	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
61,00	10,59	189,00	24,61	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
61,00	10,59	189,00	24,61	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
61,00	10,59	189,00	24,61	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
61,00	10,59	189,00	24,61	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
61,00	10,59	189,00	24,61	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
61,00	10,59	189,00	24,61	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
61,00	10,59	189,00	24,61	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
61,00	10,59	189,00	24,61	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
61,00	10,59	189,00	24,61	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
68,00	11,81	189,00	24,61	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
68,00	11,81	189,00	24,61	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
68,00	11,81	189,00	24,61	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
68,00	11,81	189,00	24,61	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
68,00	11,81	189,00	24,61	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
68,00	11,81	189,00	24,61	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
68,00	11,81	189,00	24,61	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
68,00	11,81	189,00	24,61	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
68,00	11,81	189,00	24,61	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
68,00	11,81	189,00	24,61	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
70,00	12,15	189,00	24,61	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
70,00	12,15	189,00	24,61	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
70,00	12,15	189,00	24,61	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
70,00	12,15	189,00	24,61	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
70,00	12,15	189,00	24,61	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
66,00	11,46	189,00	24,61	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
